price,square,apartment_type,apartment_floor,total_floors,adress,metro_station,distance_to_station
2900000,"10,5",Квартира-студия,2,16,"Москва, проезд Одоевского, 2А",Тёплый стан,1.6
39665358,"109,7",3-к. квартира,2,20,"ул. Новоалексеевская, стр. К-3",Алексеевская,0.7
33525897,"99,1",3-к. квартира,15,28,"ул. Автозаводская, вл. 23/66",Нагатинская,1.1
26592241,"96,6",4-к. квартира,27,32,"Кронштадтский бульвар, вл. 9, стр. 1.5, 1.6",Водный стадион,0.4
23708384,56,2-к. квартира,18,20,"жилой комплекс Западный Порт, корп. 4",Фили,0.3
6085325,"23,5",1-к. квартира,4,14,"пос. Сосенское, дер. Столбово, стр. 17",Коммунарка,2.0
4300000,18,Квартира-студия,1,9,"ул. Островитянова, 39",Коньково,0.7
15758400,"53,6",2-к. квартира,16,25,"ул. Берзарина, вл. 32/3",Октябрьское поле,1.4
44070000,"97,5",3-к. апартаменты,25,28,"ул. Василисы Кожиной, д. 13",Багратионовская,0.9
9776538,"36,6",2-к. квартира,15,17,"п. Сосенское, дер. Николо-Хованское, кв-л 26, д. 4",Прокшино,0.8
21317000,"92,4",3-к. апартаменты,2,18,"пр-т Нахимовский, вл. 31, корп. 3",Профсоюзная,1.4
10271846,"42,1",2-к. квартира,2,15,"п. Сосенское, дер. Николо-Хованское, кв-л 26, жилые дома",Прокшино,0.7
18407455,"64,5",2-к. квартира,16,17,"Очаковское ш., стр. 1.6",Аминьевская,0.3
20264961,72,2-к. квартира,8,12,"ул. Складочная, вл. 6, корп. 8",Савёловская,1.0
24543750,"65,5",2-к. квартира,23,41,"пр-д Шмитовский, вл. 39, корп. 5",Шелепиха,0.3
11566264,"54,3",2-к. квартира,12,14,"дер. Николо-Хованское, д. 6",Прокшино,0.8
13500000,43,2-к. квартира,2,9,"Лазоревый пр., 4",Ботанический сад,0.6
43679315,"103,4",4-к. квартира,12,27,"наб. Нагатинская, вл. 10А, корп. В",Нагатинская,1.0
10218934,"38,6",2-к. квартира,4,9,"п. Сосенское, дер. Николо-Хованское, ул. Николо-Хованская/Сервантеса/б-р Веласкеса, жилые дома",Прокшино,1.3
8360220,"23,9",Квартира-студия,24,33,"б-р Кронштадтский, д. 14",Водный стадион,0.6
26185980,"86,3",2-к. квартира,3,8,"ул. Летная, вл. 95Б",Спартак,0.8
