price_per_square_metr,price,square,distance_to_station,total_floors,district,metro_station,apartment_type
218.51,8.5,38.9,0.8,16,Южный,Алма-Атинская,2-к квартира
497.51,100.0,201.0,1.1,16,Западный,Ломоносовский проспект,3-к квартира
294.29,20.6,70.0,0.8,24,Южный,Пражская,2-к квартира
220.81,11.99,54.3,0.6,16,Юго-восточный,Люблино,2-к квартира
550.0,27.61,50.2,0.7,12,Северный,Динамо,2-к апартаменты
370.97,23.0,62.0,0.5,9,Северный,Сокол,2-к квартира
297.84,17.96,60.3,0.5,9,Южный,Тульская,3-к квартира
208.33,12.5,60.0,0.8,9,Юго-западный,Тёплый стан,3-к квартира
139.43,6.33,45.4,0.6,9,Юго-западный,Беляево,2-к квартира
364.41,12.9,35.4,0.8,12,Центральный,Римская,1-к квартира
250.86,8.78,35.0,1.4,12,Западный,Парк Победы,1-к квартира
324.36,11.45,35.3,0.8,9,Северный,Савёловская,2-к квартира
221.35,8.5,38.4,4.1,17,Южный,Царицыно,1-к квартира
229.59,13.5,58.8,0.3,17,Западный,Новопеределкино,2-к квартира
244.39,9.8,40.1,2.1,22,Новомосковский,Филатов луг,2-к квартира
549.11,36.9,67.2,0.7,10,Центральный,Фрунзенская,2-к квартира
216.0,21.6,100.0,0.6,22,Северо-восточный,Алтуфьево,4-к квартира
237.21,10.2,43.0,2.2,9,Северный,Селигерская,2-к квартира
256.94,18.5,72.0,0.4,6,Западный,Багратионовская,2-к квартира
362.75,14.8,40.8,2.6,24,Северо-восточный,Алтуфьево,2-к квартира
236.41,8.96,37.9,0.9,14,Западный,Новопеределкино,1-к квартира
323.91,8.94,27.6,0.7,20,Северный,Хорошёво,1-к апартаменты
320.93,13.8,43.0,0.6,18,Северный,Речной вокзал,1-к квартира
227.27,10.0,44.0,0.8,9,Юго-восточный,Печатники,2-к квартира
266.67,12.0,45.0,0.7,9,Юго-восточный,Печатники,2-к квартира
246.87,8.69,35.2,1.0,5,Юго-восточный,Волжская,1-к квартира
266.41,17.05,64.0,0.5,31,Восточный,Щёлковская,2-к квартира
315.07,23.0,73.0,0.7,19,Юго-западный,Нахимовский проспект,3-к квартира
363.33,5.45,15.0,0.3,6,Восточный,Андроновка,Апартаменты-студия
252.03,9.3,36.9,0.8,34,Юго-восточный,Окская,1-к квартира
232.47,8.95,38.5,0.2,17,Юго-западный,Улица Скобелевская,1-к квартира
154.34,8.89,57.6,0.9,22,Юго-восточный,Братиславская,2-к квартира
350.0,38.5,110.0,1.1,50,Западный,Ломоносовский проспект,3-к квартира
222.22,17.0,76.5,0.7,15,Новомосковский,Саларьево,3-к квартира
283.29,21.7,76.6,0.9,17,Юго-восточный,Люблино,3-к квартира
520.39,37.0,71.1,0.7,8,Южный,Шаболовская,2-к квартира
227.5,13.65,60.0,0.7,9,Юго-восточный,Люблино,3-к квартира
220.0,13.2,60.0,1.2,9,Южный,Домодедовская,3-к квартира
172.02,9.1,52.9,0.7,13,Северный,Селигерская,2-к квартира
211.7,17.19,81.2,0.6,17,Северо-восточный,Фонвизинская,3-к квартира
264.25,10.2,38.6,1.6,14,Северный,Водный стадион,2-к квартира
231.88,8.0,34.5,1.1,16,Северный,Тимирязевская,1-к квартира
305.26,11.6,38.0,2.6,17,Западный,Давыдково,1-к квартира
764.71,130.0,170.0,0.1,85,Центральный,Международная,3-к квартира
170.34,6.49,38.1,0.3,6,Юго-восточный,Кожуховская,1-к квартира
400.0,6.12,15.3,0.2,3,Центральный,Красносельская,Апартаменты-студия
263.27,29.75,113.0,2.6,24,Западный,Крылатское,3-к квартира
215.79,12.3,57.0,2.2,9,Юго-восточный,Печатники,3-к квартира
410.16,5.25,12.8,0.2,3,Центральный,Красносельская,Апартаменты-студия
183.28,5.7,31.1,4.6,45,Южный,Царицыно,Квартира-студия
298.0,14.9,50.0,0.6,9,Юго-западный,Ясенево,3-к квартира
261.7,12.3,47.0,1.6,9,Восточный,Первомайская,2-к квартира
307.8,22.9,74.4,1.4,16,Новомосковский,Саларьево,3-к квартира
268.54,10.5,39.1,1.0,14,Южный,Орехово,1-к квартира
225.49,11.5,51.0,1.4,17,Западный,Солнцево,2-к квартира
403.11,36.28,90.0,0.2,58,Северный,Дмитровская,3-к квартира
414.29,29.0,70.0,0.7,10,Южный,Технопарк,2-к квартира
220.93,9.5,43.0,1.0,5,Юго-восточный,Кузьминки,2-к квартира
